日期,操作,股价,PE,回撤,交易股数,交易金额,总持仓,当前市值,现金流出,现金流入,净现金流,总收益
2011-03-28,BUY,4.841949612193876,47.0664,-26.284197077947567,2065.2837804871383,10000.0,2065.2837804871383,10000.0,-10000.0,0.0,-10000.0,0.0
2011-06-16,BUY,4.917756706653821,42.7929,-25.130079153789598,2033.4474835792112,10000.0,4098.7312640663495,20156.563162633982,-20000.0,0.0,-20000.0,156.56316263398185
2011-09-20,BUY,4.926101581616016,41.5035,-25.003033395904552,2030.0027992357159,10000.0,6128.734063302065,30190.766562536253,-30000.0,0.0,-30000.0,190.76656253625333
2011-10-20,BUY,4.723246109922646,39.7906,-28.0913872968517,2117.1880031810947,10000.0,8245.92206648316,38947.51932324188,-40000.0,0.0,-40000.0,-1052.4806767581176
2012-01-04,BUY,4.7416235873674815,38.4118,-25.16389197188309,2108.9822538089606,10000.0,10354.90432029212,49099.05857003055,-50000.0,0.0,-50000.0,-900.9414299694472
2018-03-09,SELL,33.94535738133073,75.2592,0.0,-2070.9808640584242,70300.18556036032,8283.923456233697,281200.7422414413,-50000.0,70300.18556036032,20300.185560360318,301500.9278018016
2018-04-09,SELL,35.32198046217292,78.3116,-5.577139018668154,-8283.923456233697,292604.58247122256,0.0,0.0,-50000.0,362904.7680315829,312904.7680315829,312904.7680315829
2018-10-29,BUY,31.941790407963616,54.7502,-31.411270838366747,313.0694889760104,10000.0,313.0694889760104,10000.0,-60000.0,362904.7680315829,302904.7680315829,312904.7680315829
2018-12-19,BUY,31.150996301995562,53.3885,-33.10934605782395,321.017019906981,10000.0,634.0865088829914,19752.426493359344,-70000.0,362904.7680315829,292904.7680315829,312657.1945249422
2019-01-28,BUY,30.988271240232752,53.1622,-33.45876620761858,322.7027388032147,10000.0,956.7892476862062,29649.244727038393,-80000.0,362904.7680315829,282904.7680315829,312554.01275862125
2019-08-23,SELL,52.10769644862909,78.6276,0.0,-318.9297492287354,16618.69456124834,637.8594984574709,33237.38912249669,-80000.0,379523.46259283123,299523.46259283123,332760.85171532794
2019-09-23,SELL,55.16848406959436,78.5172,-0.49079422581100873,-637.8594984574709,35189.74157929043,0.0,0.0,-80000.0,414713.20417212165,334713.20417212165,334713.20417212165
2021-07-27,BUY,53.63401158427065,53.5621,-43.00340174690764,186.44885408744474,10000.0,186.44885408744474,10000.0,-90000.0,414713.20417212165,324713.20417212165,334713.20417212165
2021-08-26,BUY,44.59051119125139,45.7636,-52.61388478699723,224.26295937961774,10000.0,410.7118134670625,18313.8497147822,-100000.0,414713.20417212165,314713.20417212165,333027.05388690386
2021-09-27,BUY,49.94388912345981,51.2581,-46.92487659450659,200.2246956635735,10000.0,610.936509130636,30512.545273494074,-110000.0,414713.20417212165,304713.20417212165,335225.74944561574
2021-10-27,BUY,48.28068053338224,50.0017,-48.692360118851894,207.1221840604711,10000.0,818.0586931911071,39496.430423515994,-120000.0,414713.20417212165,294713.20417212165,334209.6345956377
2021-11-26,BUY,51.518210730794,53.3548,-45.251852826120306,194.10612011070282,10000.0,1012.1648133018099,52144.92014597741,-130000.0,414713.20417212165,284713.20417212165,336858.12431809906
2022-11-01,SELL,40.991760423144584,75.6962,-23.360312318124134,-202.43296266036197,8298.083507120931,809.7318506414479,33192.334028483725,-130000.0,423011.2876792426,293011.2876792426,326203.6217077263
2023-01-16,SELL,42.61174443617079,78.6883,-15.297827669145182,-809.7318506414479,34504.08668136099,0.0,0.0,-130000.0,457515.37436060363,327515.37436060363,327515.37436060363
2024-02-02,BUY,35.64663360325832,54.5143,-27.040089813464352,280.53139915815046,10000.0,280.53139915815046,10000.0,-140000.0,457515.37436060363,317515.37436060363,327515.37436060363
2025-08-15,HOLD,63.4,61.5054,-0.6270189082978495,0.0,0.0,280.53139915815046,17785.690706626738,-140000.0,457515.37436060363,317515.37436060363,335301.0650672304
